movieId,keywords
127164.0,10391
127164.0,10594
127164.0,11061
127164.0,11578
127164.0,12094
127164.0,12396
127164.0,13142
127164.0,14536
127164.0,14819
127164.0,14964
127164.0,33879
127164.0,159608
146309.0,796
146309.0,2800
146309.0,4668
146309.0,5430
146309.0,10714
146309.0,11268
146309.0,13001
132549.0,271
132549.0,441
132549.0,591
132549.0,974
132549.0,977
132549.0,1666
132549.0,2350
132549.0,2708
132549.0,3045
132549.0,3979
132549.0,9823
132549.0,10084
132549.0,10950
132549.0,11148
132549.0,12355
132549.0,18107
132549.0,33456
132549.0,167861
132549.0,178929
140267.0,7345
140267.0,11325
140267.0,18068
140267.0,18320
140267.0,41355
140267.0,163531
140267.0,163533
140267.0,163534
140267.0,163540
140267.0,163543
140267.0,163545
140267.0,163552
140267.0,163553
140267.0,163558
163056.0,30
163056.0,549
163056.0,567
163056.0,585
163056.0,699
163056.0,725
163056.0,887
163056.0,888
163056.0,922
163056.0,3737
163056.0,3927
163056.0,6059
163056.0,7464
163056.0,12670
163056.0,15237
163056.0,155793
127152.0,497
127152.0,931
127152.0,9713
127152.0,17982
141956.0,1228
141956.0,5248
141956.0,10683
141956.0,170521
141956.0,170533
141956.0,170539
141956.0,187056
128620.0,1316
128620.0,33384
128620.0,33386
128620.0,33388
160438.0,402
160438.0,1566
160438.0,2041
160438.0,4484
160438.0,4565
160438.0,4995
160438.0,6054
160438.0,10084
160438.0,10103
160438.0,14659
160438.0,157955
147006.0,964
147006.0,2311
147006.0,2682
147006.0,2992
147006.0,6464
147006.0,11869
147006.0,41277
140247.0,897
140247.0,3436
140247.0,6270
140247.0,6610
140247.0,10508
140247.0,155582
148881.0,222
148881.0,276
148881.0,277
148881.0,278
148881.0,4379
148881.0,4458
148881.0,4565
148881.0,14675
148881.0,15149
148881.0,162801
155820.0,3020
155820.0,4931
155820.0,5608
155820.0,8082
155820.0,11115
155820.0,11477
155820.0,18013
155820.0,33671
155820.0,158019
155820.0,206052
127206.0,392
127206.0,437
127206.0,8997
127206.0,10183
127206.0,13065
160565.0,378
160565.0,570
160565.0,1952
160565.0,2060
160565.0,2122
160565.0,2300
160565.0,2501
160565.0,2538
160565.0,2726
160565.0,2796
160565.0,2885
160565.0,3012
160565.0,3437
160565.0,3440
160565.0,3441
160565.0,3442
160565.0,3446
160565.0,3447
160565.0,3448
160565.0,3927
160565.0,6059
160565.0,6145
160565.0,6148
160565.0,11263
160565.0,13001
141866.0,13014
141866.0,204353
158528.0,1525
158528.0,6270
158528.0,6664
158528.0,7208
158528.0,10199
158528.0,11933
158528.0,187056
117895.0,3644
117533.0,392
117533.0,497
117533.0,1930
117533.0,9826
117533.0,13084
143410.0,10594
143410.0,11254
143410.0,159640
143410.0,159643
143410.0,159660
143410.0,159661
158783.0,931
158783.0,1279
158783.0,2098
158783.0,6148
158783.0,10329
158783.0,44448
158783.0,44449
127158.0,779
127158.0,1299
127158.0,2041
127158.0,10292
127158.0,10821
127158.0,12380
127158.0,14819
127158.0,41645
127158.0,188955
159755.0,596
159755.0,1442
159755.0,1523
159755.0,2136
159755.0,6018
159755.0,208477
159690.0,1334
159690.0,1459
159690.0,2587
159690.0,5773
159690.0,5999
159690.0,6038
159690.0,9470
159690.0,9673
159690.0,33694
159690.0,34094
159690.0,164039
159690.0,187056
136305.0,476
136305.0,703
136305.0,1470
136305.0,2231
136305.0,3597
136305.0,3857
136305.0,3927
136305.0,3932
136305.0,4138
136305.0,4142
136305.0,5340
136305.0,6125
136305.0,6149
136305.0,10714
138204.0,1463
138204.0,3591
138204.0,3691
138204.0,4090
138204.0,4344
138204.0,4542
138204.0,7376
138204.0,9840
138204.0,10322
138204.0,10336
138204.0,160977
138204.0,165086
138204.0,173808
138204.0,173811
138204.0,173815
138204.0,173823
138204.0,173824
138204.0,173825
138204.0,180217
138204.0,185343
138204.0,207941
138204.0,208426
138204.0,225547
138204.0,230456
138204.0,234183
138204.0,234184
138204.0,234185
113938.0,1992
113938.0,158718
113938.0,187056
151639.0,3703
151639.0,5493
151639.0,14604
151639.0,15009
151639.0,18023
151639.0,18024
151639.0,18027
162672.0,549
162672.0,2393
162672.0,4130
162672.0,5885
162672.0,6230
162672.0,8018
162672.0,10183
162672.0,33625
162672.0,208349
148482.0,10183
127198.0,6075
127198.0,9963
127198.0,13042
127198.0,187056
133295.0,567
133295.0,2679
133295.0,6027
133295.0,14964
133295.0,33624
127204.0,2672
127204.0,4543
127204.0,7629
127204.0,155294
127204.0,171760
127204.0,187056
141668.0,2041
141668.0,3344
141668.0,4461
141668.0,5420
141668.0,5933
140725.0,1990
140725.0,6186
140725.0,6300
140725.0,33465
140725.0,187065
158238.0,570
158238.0,1419
158238.0,2801
158238.0,204959
143257.0,1233
143257.0,1310
143257.0,1635
143257.0,4344
143257.0,4488
143257.0,5289
143257.0,6027
143257.0,158558
155392.0,248
155392.0,398
155392.0,898
155392.0,4438
155392.0,9755
155392.0,10700
155392.0,10726
155392.0,11514
155392.0,12425
155392.0,13142
117511.0,2041
